ts,door_id,mount_pos,sample_hz,ax,ay,az,gx,gy,gz,a_mag,w_mag,label
1761682764.580929,doorA,pos1,100,-0.034180,-1.002197,0.059082,-3.153,-1.420,-0.893,1.004519,3.571132,close
1761682764.590907,doorA,pos1,100,-0.035156,-0.989258,0.052002,-3.137,-1.519,-1.198,0.991247,3.686090,close
1761682764.600909,doorA,pos1,100,-0.035645,-1.002441,0.051514,-2.893,-1.511,-1.137,1.004397,3.456642,close
1761682764.610902,doorA,pos1,100,-0.038330,-1.002930,0.059326,-3.115,-1.611,-1.427,1.005414,3.785782,close
1761682764.620908,doorA,pos1,100,-0.033203,-1.004883,0.055908,-3.031,-1.542,-0.939,1.006984,3.527527,close
1761682764.630908,doorA,pos1,100,-0.039062,-1.009033,0.038086,-3.023,-1.458,-1.153,1.010507,3.548576,close
1761682764.640908,doorA,pos1,100,-0.037354,-1.000000,0.049561,-3.160,-1.481,-1.252,1.001924,3.707818,close
1761682764.650907,doorA,pos1,100,-0.037598,-0.999268,0.056396,-2.985,-1.466,-1.023,1.001564,3.478948,close
1761682764.660907,doorA,pos1,100,-0.035645,-1.002197,0.056396,-2.992,-1.435,-1.260,1.004415,3.549684,close
1761682764.670908,doorA,pos1,100,-0.031494,-0.998779,0.064209,-2.985,-1.473,-1.252,1.001336,3.556187,close
1761682764.680899,doorA,pos1,100,-0.033447,-0.996338,0.053223,-2.985,-1.580,-1.405,0.998319,3.657644,close
1761682764.690907,doorA,pos1,100,-0.035889,-0.998779,0.047607,-3.076,-1.527,-1.092,1.000557,3.603652,close
1761682764.700907,doorA,pos1,100,-0.018311,-1.005859,0.053711,-2.931,-1.603,-1.275,1.007459,3.575951,close
1761682764.710906,doorA,pos1,100,-0.031250,-0.989014,0.062744,-3.061,-1.557,-0.885,0.991495,3.546728,close
1761682764.720906,doorA,pos1,100,-0.038818,-0.986084,0.052246,-2.916,-1.405,-1.519,0.988230,3.575429,close
1761682764.730907,doorA,pos1,100,-0.036133,-1.004395,0.049316,-3.137,-1.573,-0.931,1.006253,3.630901,close
1761682764.740904,doorA,pos1,100,-0.033203,-0.987549,0.057861,-2.931,-1.397,-1.443,0.989800,3.553236,close
1761682764.750907,doorA,pos1,100,-0.031982,-1.004639,0.057861,-3.046,-1.611,-0.702,1.006812,3.516309,close
1761682764.760907,doorA,pos1,100,-0.034180,-1.005371,0.051025,-3.008,-1.359,-1.435,1.007245,3.598846,close
1761682764.770908,doorA,pos1,100,-0.034912,-1.008301,0.059814,-3.015,-1.435,-0.840,1.010677,3.443324,close
1761682764.780906,doorA,pos1,100,-0.030273,-1.006836,0.054443,-3.107,-1.450,-1.336,1.008761,3.679785,close
1761682764.790906,doorA,pos1,100,-0.031982,-1.006104,0.050537,-3.061,-1.595,-0.885,1.007880,3.563651,close
1761682764.800905,doorA,pos1,100,-0.035400,-0.999268,0.042969,-3.168,-1.359,-1.420,1.000817,3.728013,close
1761682764.810905,doorA,pos1,100,-0.036133,-1.002686,0.063721,-3.023,-1.611,-0.985,1.005358,3.563978,close
1761682764.820906,doorA,pos1,100,-0.035400,-1.001221,0.064209,-2.916,-1.359,-1.298,1.003902,3.468943,close
1761682764.830906,doorA,pos1,100,-0.029541,-1.003662,0.052490,-3.137,-1.435,-1.069,1.005468,3.611784,close
1761682764.840905,doorA,pos1,100,-0.034180,-1.003174,0.058594,-3.023,-1.710,-1.282,1.005465,3.702219,close
1761682764.850907,doorA,pos1,100,-0.038574,-1.002686,0.052002,-3.122,-1.504,-1.321,1.004774,3.708533,close
1761682764.860907,doorA,pos1,100,-0.046387,-1.004150,0.053711,-3.176,-1.641,-1.221,1.006655,3.777515,close
1761682764.870905,doorA,pos1,100,-0.034424,-0.989014,0.053955,-3.084,-1.489,-1.237,0.991082,3.640869,close
1761682764.880907,doorA,pos1,100,-0.039795,-1.002930,0.053223,-3.099,-1.641,-0.947,1.005129,3.632473,close
1761682764.890906,doorA,pos1,100,-0.031738,-1.005615,0.068359,-2.954,-1.420,-1.221,1.008436,3.497858,close
1761682764.900905,doorA,pos1,100,-0.031494,-1.000977,0.053711,-3.053,-1.489,-0.893,1.002911,3.512396,close
1761682764.910906,doorA,pos1,100,-0.034912,-1.013672,0.048096,-2.977,-1.466,-1.351,1.015413,3.582854,close
1761682764.920906,doorA,pos1,100,-0.032959,-1.005127,0.032471,-3.275,-1.603,-1.000,1.006191,3.780761,close
1761682764.930905,doorA,pos1,100,-0.035156,-1.002441,0.051758,-3.160,-1.359,-1.168,1.004392,3.632890,close
1761682764.940905,doorA,pos1,100,-0.032715,-0.998779,0.053711,-2.878,-1.382,-0.756,1.000757,3.280587,close
1761682764.950905,doorA,pos1,100,-0.029785,-0.995605,0.049072,-2.969,-1.550,-1.313,0.997259,3.597631,close
1761682764.960904,doorA,pos1,100,-0.034912,-1.005615,0.056641,-3.000,-1.435,-0.817,1.007814,3.424428,close
1761682764.970900,doorA,pos1,100,-0.038086,-1.004150,0.063965,-2.962,-1.565,-1.229,1.006906,3.568161,close
1761682764.980906,doorA,pos1,100,-0.034180,-1.000732,0.053711,-2.824,-1.496,-0.687,1.002755,3.269244,close
1761682764.990906,doorA,pos1,100,-0.036621,-0.998535,0.060547,-3.061,-1.481,-1.267,1.001039,3.628910,close
1761682765.000906,doorA,pos1,100,-0.039062,-0.985107,0.061768,-3.115,-1.534,-0.885,0.987815,3.583081,close
1761682765.010907,doorA,pos1,100,-0.035400,-1.012207,0.057617,-2.947,-1.420,-1.389,1.014463,3.553646,close
1761682765.020907,doorA,pos1,100,-0.030518,-1.002197,0.057373,-3.046,-1.420,-0.893,1.004302,3.477147,close
1761682765.030906,doorA,pos1,100,-0.035645,-0.997314,0.056152,-3.115,-1.473,-1.183,0.999530,3.642893,close
1761682765.040906,doorA,pos1,100,-0.032227,-1.002686,0.075928,-3.107,-1.282,-1.115,1.006073,3.541104,close
1761682765.050905,doorA,pos1,100,-0.036621,-0.986084,0.061279,-2.924,-1.496,-1.267,0.988665,3.520243,close
1761682765.060905,doorA,pos1,100,-0.038574,-0.985840,0.062012,-3.099,-1.405,-1.229,0.988541,3.617813,close
1761682765.070905,doorA,pos1,100,-0.034912,-1.003418,0.065918,-3.084,-1.374,-1.275,1.006187,3.608879,close
1761682765.080906,doorA,pos1,100,-0.033691,-0.998291,0.052734,-3.076,-1.534,-1.115,1.000250,3.613889,close
1761682765.090906,doorA,pos1,100,-0.036621,-1.002686,0.053711,-3.069,-1.504,-0.954,1.004791,3.548083,close
1761682765.100904,doorA,pos1,100,-0.031738,-0.999023,0.052002,-3.046,-1.580,-1.427,1.000879,3.716381,close
1761682765.110905,doorA,pos1,100,-0.033203,-1.008301,0.062500,-3.038,-1.534,-0.916,1.010781,3.524743,close
1761682765.120904,doorA,pos1,100,-0.034912,-1.003174,0.058350,-3.015,-1.634,-1.466,1.005476,3.729420,close
1761682765.130905,doorA,pos1,100,-0.019775,-1.002197,0.046387,-3.053,-1.504,-0.779,1.003465,3.491588,close
1761682765.140905,doorA,pos1,100,-0.039307,-1.002686,0.053223,-2.863,-1.672,-1.397,1.004866,3.597316,close
1761682765.150905,doorA,pos1,100,-0.035400,-1.015625,0.061768,-2.977,-1.603,-0.740,1.018117,3.461384,close
1761682765.160905,doorA,pos1,100,-0.037354,-1.015625,0.056641,-3.092,-1.580,-1.198,1.017889,3.673041,close
1761682765.170913,doorA,pos1,100,-0.033203,-1.007080,0.053711,-3.153,-1.412,-0.985,1.009058,3.592128,close
1761682765.188834,doorA,pos1,100,-0.032959,-1.003662,0.055420,-3.053,-1.458,-1.321,1.005731,3.632256,close
1761682765.201972,doorA,pos1,100,-0.036865,-1.003418,0.051514,-3.176,-1.435,-1.153,1.005415,3.670486,close
1761682765.215123,doorA,pos1,100,-0.030762,-1.006348,0.060303,-2.916,-1.389,-1.298,1.008622,3.481016,close
1761682765.228271,doorA,pos1,100,-0.040771,-1.002686,0.050049,-3.076,-1.519,-1.267,1.004761,3.657484,close
1761682765.241416,doorA,pos1,100,-0.035645,-1.000488,0.053955,-3.053,-1.634,-1.206,1.002576,3.666984,close
1761682765.254556,doorA,pos1,100,-0.033936,-0.997803,0.055420,-3.183,-1.397,-1.145,0.999917,3.659969,close
1761682765.267745,doorA,pos1,100,-0.032959,-1.015381,0.051514,-3.168,-1.458,-1.321,1.017221,3.729029,close
1761682765.280179,doorA,pos1,100,-0.034912,-0.987305,0.056641,-3.031,-1.473,-1.328,0.989544,3.622007,close
1761682765.291832,doorA,pos1,100,-0.037354,-1.015381,0.055176,-3.053,-1.557,-1.191,1.017565,3.628581,close
1761682765.303505,doorA,pos1,100,-0.046631,-1.003418,0.055664,-3.061,-1.603,-0.802,1.006042,3.547163,close
1761682765.315157,doorA,pos1,100,-0.022461,-1.012695,0.056641,-3.061,-1.519,-0.695,1.014527,3.487163,close
1761682765.326810,doorA,pos1,100,-0.036377,-1.001465,0.060059,-3.084,-1.389,-1.061,1.003923,3.544986,close
1761682765.338461,doorA,pos1,100,-0.021973,-1.014648,0.054932,-3.160,-1.420,-1.481,1.016372,3.767839,close
1761682765.350121,doorA,pos1,100,-0.046387,-1.002441,0.049561,-2.977,-1.519,-1.176,1.004737,3.542980,close
1761682765.361776,doorA,pos1,100,-0.033691,-0.989258,0.050781,-3.031,-1.496,-0.855,0.991133,3.486210,close
1761682765.373444,doorA,pos1,100,-0.016113,-0.987793,0.052979,-3.015,-1.450,-1.023,0.989344,3.498824,close
1761682765.385311,doorA,pos1,100,-0.034668,-1.000000,0.047852,-3.008,-1.427,-1.351,1.001744,3.592931,close
1761682765.396977,doorA,pos1,100,-0.038818,-1.000000,0.058594,-3.168,-1.466,-1.420,1.002467,3.768279,close
1761682765.408632,doorA,pos1,100,-0.040283,-0.998779,0.049072,-3.053,-1.580,-0.931,1.000795,3.561975,close
1761682765.420352,doorA,pos1,100,-0.040283,-0.987305,0.056396,-3.122,-1.740,-0.733,0.989734,3.648831,close
1761682765.432029,doorA,pos1,100,-0.038574,-1.004883,0.055420,-3.092,-1.519,-1.374,1.007149,3.708588,close
1761682765.443681,doorA,pos1,100,-0.035889,-0.999023,0.058350,-2.992,-1.634,-1.122,1.001369,3.589158,close
1761682765.455360,doorA,pos1,100,-0.032715,-1.006104,0.054199,-3.092,-1.458,-1.160,1.008093,3.609727,close
1761682765.467013,doorA,pos1,100,-0.044434,-0.997070,0.065674,-3.076,-1.519,-0.939,1.000218,3.557113,close
1761682765.478696,doorA,pos1,100,-0.040283,-1.004150,0.054932,-3.115,-1.534,-0.969,1.006458,3.604751,close
1761682765.490374,doorA,pos1,100,-0.034424,-1.004395,0.059570,-3.061,-1.557,-1.237,1.006748,3.650268,close
1761682765.502026,doorA,pos1,100,-0.037109,-0.998291,0.062500,-3.168,-1.763,-1.466,1.000934,3.910677,close
1761682765.513675,doorA,pos1,100,-0.034180,-1.001465,0.054199,-3.000,-1.573,-1.122,1.003513,3.568194,close
1761682765.525327,doorA,pos1,100,-0.019531,-1.003662,0.075195,-3.206,-1.313,-1.031,1.006665,3.614558,close
1761682765.536976,doorA,pos1,100,-0.038574,-0.999268,0.057373,-3.031,-1.389,-1.221,1.001656,3.550505,close
1761682765.548625,doorA,pos1,100,-0.017090,-1.004395,0.049072,-2.962,-1.656,-1.305,1.005738,3.635977,close
1761682765.560302,doorA,pos1,100,-0.036865,-0.988770,0.058105,-3.122,-1.550,-1.198,0.991161,3.685837,close
1761682765.571976,doorA,pos1,100,-0.016357,-1.005371,0.062256,-3.107,-1.580,-0.786,1.007430,3.573196,close
1761682765.583620,doorA,pos1,100,-0.038086,-0.985596,0.075684,-3.069,-1.397,-0.931,0.989231,3.497958,close
1761682765.595270,doorA,pos1,100,-0.035156,-0.984619,0.058594,-2.969,-1.260,-1.397,0.986987,3.515058,close
1761682765.606925,doorA,pos1,100,-0.035889,-1.005371,0.050049,-3.084,-1.588,-1.336,1.007256,3.717056,close
1761682765.618573,doorA,pos1,100,-0.034424,-0.986816,0.061035,-2.962,-1.473,-0.863,0.989301,3.418637,close
1761682765.630247,doorA,pos1,100,-0.039795,-1.015137,0.046875,-3.092,-1.405,-0.893,1.016997,3.511201,close
1761682765.641896,doorA,pos1,100,-0.018311,-1.003418,0.056396,-3.229,-1.389,-1.328,1.005168,3.757780,close
1761682765.653545,doorA,pos1,100,-0.032471,-1.003418,0.049072,-3.084,-1.580,-1.427,1.005142,3.747726,close
1761682765.665285,doorA,pos1,100,-0.034180,-1.001465,0.050537,-3.053,-1.573,-1.206,1.003322,3.640189,close
1761682765.676971,doorA,pos1,100,-0.033203,-0.989502,0.053711,-3.008,-1.412,-0.847,0.991515,3.429019,close
1761682765.688619,doorA,pos1,100,-0.037842,-0.986328,0.049072,-2.954,-1.550,-0.870,0.988273,3.447594,close
1761682765.700306,doorA,pos1,100,-0.045898,-1.001221,0.049561,-3.145,-1.588,-1.145,1.003497,3.704517,close
1761682765.711953,doorA,pos1,100,-0.045654,-1.004395,0.054688,-3.137,-1.580,-1.397,1.006918,3.780430,close
1761682765.723605,doorA,pos1,100,-0.031494,-1.008057,0.059082,-3.115,-1.473,-1.031,1.010278,3.596206,close
1761682765.735260,doorA,pos1,100,-0.034424,-1.002930,0.055420,-2.977,-1.588,-0.679,1.005049,3.441766,close
1761682765.746912,doorA,pos1,100,-0.041748,-1.000977,0.056885,-3.031,-1.489,-0.954,1.003460,3.508620,close
1761682765.758565,doorA,pos1,100,-0.036377,-1.000244,0.058838,-3.084,-1.557,-1.351,1.002633,3.709649,close
1761682765.770230,doorA,pos1,100,-0.033691,-1.010742,0.050781,-3.252,-1.473,-1.183,1.012578,3.761043,close
1761682765.781896,doorA,pos1,100,-0.033203,-1.002930,0.054199,-3.145,-1.473,-0.885,1.004942,3.584122,close
1761682765.793549,doorA,pos1,100,-0.046875,-1.013672,0.035400,-3.084,-1.626,-0.893,1.015372,3.598927,close
1761682765.805202,doorA,pos1,100,-0.040527,-1.000488,0.072998,-2.962,-1.412,-1.290,1.003966,3.525776,close
1761682765.816856,doorA,pos1,100,-0.037354,-1.004883,0.076416,-2.977,-1.511,-1.206,1.008476,3.549971,close
1761682765.828500,doorA,pos1,100,-0.033691,-0.989990,0.055664,-2.992,-1.649,-1.046,0.992126,3.573049,close
1761682765.840169,doorA,pos1,100,-0.034912,-1.003662,0.055664,-3.069,-1.481,-0.748,1.005811,3.488508,close
1761682765.851825,doorA,pos1,100,-0.036133,-1.006348,0.056885,-2.969,-1.557,-1.168,1.008602,3.550611,close
1761682765.863474,doorA,pos1,100,-0.037842,-1.005615,0.054688,-3.160,-1.611,-1.260,1.007812,3.764079,close
1761682765.875149,doorA,pos1,100,-0.017578,-0.994629,0.057373,-2.817,-1.588,-1.115,0.996437,3.420163,close
1761682765.886793,doorA,pos1,100,-0.028809,-1.012695,0.053223,-2.962,-1.481,-0.954,1.014502,3.446165,close
1761682765.898443,doorA,pos1,100,-0.022705,-1.005615,0.058594,-2.977,-1.450,-0.985,1.007577,3.454913,close
1761682765.910113,doorA,pos1,100,-0.034180,-1.003906,0.059326,-3.115,-1.603,-1.237,1.006238,3.714727,close
1761682765.921761,doorA,pos1,100,-0.045166,-1.013672,0.061035,-2.985,-1.687,-1.389,1.016512,3.699306,close
1761682765.933412,doorA,pos1,100,-0.029785,-1.005127,0.050049,-3.031,-1.618,-0.954,1.006813,3.565613,close
1761682765.945061,doorA,pos1,100,-0.045898,-1.015625,0.072754,-3.099,-1.458,-0.817,1.019261,3.521112,close
