ts,door_id,mount_pos,sample_hz,ax,ay,az,gx,gy,gz,a_mag,w_mag,label
1761623398.374837,doorA,pos1,100,-0.961426,0.005371,-0.072754,-3.160,-1.298,-1.115,0.964190,3.593564,open
1761623398.383962,doorA,pos1,100,-0.961426,0.006836,-0.077148,-3.260,-1.511,-0.847,0.964540,3.691485,open
1761623398.393945,doorA,pos1,100,-0.955322,0.000000,-0.071289,-3.115,-1.427,-0.779,0.957978,3.513416,open
1761623398.403964,doorA,pos1,100,-0.962646,0.003418,-0.068848,-2.954,-1.458,-1.000,0.965111,3.442833,open
1761623398.413958,doorA,pos1,100,-0.958740,0.008789,-0.063721,-3.389,-1.336,-0.939,0.960896,3.762128,open
1761623398.423959,doorA,pos1,100,-0.955322,0.007080,-0.072266,-3.107,-1.221,-1.115,0.958078,3.519448,open
1761623398.433960,doorA,pos1,100,-0.960449,0.006592,-0.077393,-3.122,-1.496,-1.038,0.963585,3.614429,open
1761623398.443952,doorA,pos1,100,-0.957764,0.000977,-0.062988,-3.046,-1.443,-0.786,0.959833,3.460727,open
1761623398.453951,doorA,pos1,100,-0.964600,0.003418,-0.067627,-3.206,-1.412,-0.863,0.966973,3.607983,open
1761623398.464265,doorA,pos1,100,-0.963379,0.004150,-0.072266,-3.221,-1.435,-0.748,0.966094,3.605058,open
1761623398.473961,doorA,pos1,100,-0.958008,-0.000732,-0.065918,-3.267,-1.534,-1.153,0.960273,3.789106,open
1761623398.483952,doorA,pos1,100,-0.964355,0.000977,-0.073242,-3.267,-1.473,-0.878,0.967133,3.689938,open
1761623398.493942,doorA,pos1,100,-0.961182,0.003662,-0.080566,-3.153,-1.420,-1.298,0.964559,3.693150,open
1761623398.503955,doorA,pos1,100,-0.957031,0.001709,-0.071045,-3.275,-1.397,-0.817,0.959666,3.652805,open
1761623398.513952,doorA,pos1,100,-0.958984,-0.001953,-0.071777,-3.275,-1.397,-1.229,0.961669,3.766470,open
1761623398.523952,doorA,pos1,100,-0.961182,0.002930,-0.068359,-3.237,-1.397,-0.893,0.963614,3.636618,open
1761623398.533952,doorA,pos1,100,-0.955566,0.007324,-0.075195,-3.221,-1.527,-1.084,0.958548,3.726004,open
1761623398.543951,doorA,pos1,100,-0.966064,-0.015137,-0.069580,-3.290,-1.542,-0.771,0.968685,3.714397,open
1761623398.553950,doorA,pos1,100,-0.958984,0.000732,-0.062744,-3.305,-1.550,-1.275,0.961035,3.866749,open
1761623398.563943,doorA,pos1,100,-0.962402,0.002930,-0.070557,-3.160,-1.382,-0.779,0.964990,3.535934,open
1761623398.573954,doorA,pos1,100,-0.960693,0.003174,-0.064453,-3.107,-1.489,-1.366,0.962858,3.706144,open
1761623398.583954,doorA,pos1,100,-0.957275,0.005859,-0.070068,-3.191,-1.588,-0.527,0.959854,3.602770,open
1761623398.593951,doorA,pos1,100,-0.959473,0.005615,-0.082031,-3.107,-1.557,-1.107,0.962989,3.647306,open
1761623398.603953,doorA,pos1,100,-0.964355,0.005615,-0.073242,-3.229,-1.542,-0.626,0.967149,3.632633,open
1761623398.613950,doorA,pos1,100,-0.957764,0.006104,-0.073242,-3.053,-1.611,-1.321,0.960579,3.696186,open
1761623398.623950,doorA,pos1,100,-0.957764,0.006104,-0.076904,-3.244,-1.664,-0.626,0.960866,3.699519,open
1761623398.633955,doorA,pos1,100,-0.960449,-0.005615,-0.067871,-3.229,-1.466,-1.305,0.962861,3.778695,open
1761623398.643942,doorA,pos1,100,-0.961182,0.002197,-0.070557,-3.130,-1.496,-0.748,0.963770,3.548756,open
1761623398.653951,doorA,pos1,100,-0.965576,0.005615,-0.066650,-3.237,-1.511,-1.336,0.967890,3.813777,open
1761623398.663952,doorA,pos1,100,-0.965332,0.005127,-0.083740,-3.061,-1.458,-0.977,0.968971,3.528551,open
1761623398.673952,doorA,pos1,100,-0.958008,0.000977,-0.064453,-3.099,-1.473,-1.084,0.960174,3.598725,open
1761623398.683950,doorA,pos1,100,-0.956787,0.004150,-0.074463,-3.031,-1.443,-0.733,0.959689,3.435505,open
1761623398.693951,doorA,pos1,100,-0.957520,-0.001465,-0.076416,-3.160,-1.389,-1.168,0.960565,3.644421,open
1761623398.703949,doorA,pos1,100,-0.962158,0.004150,-0.062988,-3.237,-1.542,-0.687,0.964227,3.650420,open
1761623398.713949,doorA,pos1,100,-0.958740,0.008057,-0.072021,-2.939,-1.374,-1.069,0.961475,3.415764,open
1761623398.723944,doorA,pos1,100,-0.958496,0.002197,-0.070801,-3.122,-1.550,-0.962,0.961110,3.615824,open
1761623398.733950,doorA,pos1,100,-0.958984,0.005371,-0.078369,-3.092,-1.389,-1.008,0.962196,3.536032,open
1761623398.743966,doorA,pos1,100,-0.977051,0.002686,-0.077881,-3.160,-1.427,-0.924,0.980153,3.588647,open
1761623398.753954,doorA,pos1,100,-0.961426,0.000488,-0.070557,-3.145,-1.458,-0.779,0.964011,3.552933,open
1761623398.763953,doorA,pos1,100,-0.964600,0.006592,-0.072021,-3.046,-1.374,-1.122,0.967307,3.524784,open
1761623398.773951,doorA,pos1,100,-0.965820,0.004883,-0.052002,-3.130,-1.519,-0.824,0.967232,3.575299,open
1761623398.783951,doorA,pos1,100,-0.951416,0.001221,-0.074951,-3.229,-1.420,-1.099,0.954365,3.694696,open
1761623398.793954,doorA,pos1,100,-0.958496,0.005371,-0.063721,-3.305,-1.489,-0.725,0.960627,3.696888,open
1761623398.803950,doorA,pos1,100,-0.965332,0.001465,-0.080078,-3.237,-1.641,-1.168,0.968649,3.812287,open
1761623398.813948,doorA,pos1,100,-0.959229,0.000977,-0.069336,-3.214,-1.435,-0.947,0.961732,3.644676,open
1761623398.823951,doorA,pos1,100,-0.958252,0.005615,-0.069336,-3.053,-1.466,-1.214,0.960774,3.597882,open
1761623398.833953,doorA,pos1,100,-0.958252,0.000000,-0.077148,-3.160,-1.435,-0.649,0.961353,3.531019,open
1761623398.843950,doorA,pos1,100,-0.965576,0.002686,-0.062500,-3.176,-1.504,-1.168,0.967601,3.702676,open
1761623398.853950,doorA,pos1,100,-0.958984,0.007568,-0.072510,-3.168,-1.595,-0.672,0.961752,3.610049,open
1761623398.863950,doorA,pos1,100,-0.959473,0.005127,-0.063477,-3.092,-1.206,-1.229,0.961584,3.538808,open
1761623398.873950,doorA,pos1,100,-0.962402,0.001953,-0.071045,-3.198,-1.466,-0.565,0.965023,3.563349,open
1761623398.883951,doorA,pos1,100,-0.961182,0.004883,-0.084717,-3.115,-1.267,-1.221,0.964920,3.577376,open
1761623398.893950,doorA,pos1,100,-0.960693,0.004395,-0.075684,-3.229,-1.466,-0.863,0.963680,3.649478,open
1761623398.903950,doorA,pos1,100,-0.963379,0.001709,-0.075928,-3.053,-1.435,-1.084,0.966368,3.543728,open
1761623398.913949,doorA,pos1,100,-0.959717,0.006104,-0.072510,-3.107,-1.519,-0.641,0.962471,3.517303,open
1761623398.923949,doorA,pos1,100,-0.956299,0.002197,-0.072021,-3.229,-1.504,-1.260,0.959010,3.778148,open
1761623398.933950,doorA,pos1,100,-0.962402,0.005127,-0.071045,-3.061,-1.504,-0.527,0.965035,3.450947,open
1761623398.943949,doorA,pos1,100,-0.963379,0.000732,-0.069824,-3.130,-1.435,-1.275,0.965906,3.671534,open
1761623398.953949,doorA,pos1,100,-0.959961,0.003418,-0.072754,-3.145,-1.473,-0.618,0.962720,3.527626,open
1761623398.963948,doorA,pos1,100,-0.965332,0.001465,-0.071533,-3.260,-1.435,-1.076,0.967980,3.720573,open
1761623398.973949,doorA,pos1,100,-0.959961,-0.001221,-0.076416,-3.115,-1.519,-0.794,0.962998,3.554999,open
1761623398.983949,doorA,pos1,100,-0.962646,0.001709,-0.078125,-3.328,-1.420,-1.191,0.965813,3.809367,open
1761623398.993950,doorA,pos1,100,-0.959229,-0.014160,-0.069580,-3.214,-1.328,-0.824,0.961853,3.573799,open
1761623399.003949,doorA,pos1,100,-0.960938,0.000244,-0.068359,-3.076,-1.359,-1.076,0.963366,3.531093,open
1761623399.013950,doorA,pos1,100,-0.961426,0.005859,-0.072266,-3.313,-1.435,-0.847,0.964156,3.708549,open
1761623399.023948,doorA,pos1,100,-0.955811,0.003418,-0.067627,-3.053,-1.275,-1.053,0.958206,3.472511,open
1761623399.033948,doorA,pos1,100,-0.960938,0.009521,-0.074707,-3.137,-1.481,-0.779,0.963884,3.555654,open
1761623399.043941,doorA,pos1,100,-0.956299,-0.002686,-0.075928,-3.221,-1.420,-0.954,0.959312,3.647425,open
1761623399.053950,doorA,pos1,100,-0.964111,0.003906,-0.076904,-3.107,-1.473,-0.802,0.967182,3.530673,open
1761623399.063949,doorA,pos1,100,-0.958252,0.004883,-0.066895,-3.115,-1.550,-0.939,0.960596,3.603199,open
1761623399.073948,doorA,pos1,100,-0.964111,0.002197,-0.073730,-3.145,-1.519,-1.061,0.966929,3.650308,open
1761623399.083951,doorA,pos1,100,-0.952637,0.003174,-0.067383,-3.244,-1.389,-1.076,0.955022,3.689717,open
1761623399.093951,doorA,pos1,100,-0.961670,0.003174,-0.054199,-3.053,-1.427,-0.916,0.963201,3.492890,open
1761623399.103949,doorA,pos1,100,-0.958496,0.008545,-0.069092,-3.282,-1.359,-0.977,0.961021,3.684485,open
1761623399.113949,doorA,pos1,100,-0.958984,0.000488,-0.065674,-3.260,-1.397,-1.092,0.961231,3.710481,open
1761623399.123950,doorA,pos1,100,-0.958008,0.008789,-0.074219,-3.176,-1.450,-0.947,0.960919,3.617161,open
1761623399.133959,doorA,pos1,100,-0.955811,0.004883,-0.072266,-3.366,-1.305,-1.153,0.958551,3.790159,open
1761623399.143952,doorA,pos1,100,-0.956543,0.001953,-0.074707,-3.191,-1.504,-0.870,0.959458,3.633211,open
1761623399.153950,doorA,pos1,100,-0.964844,0.000244,-0.072021,-3.092,-1.580,-1.153,0.967528,3.658353,open
1761623399.163949,doorA,pos1,100,-0.954102,0.002930,-0.080566,-3.076,-1.466,-0.695,0.957502,3.477717,open
1761623399.173949,doorA,pos1,100,-0.944580,0.003174,-0.069336,-3.282,-1.443,-1.237,0.947127,3.792787,open
1761623399.183949,doorA,pos1,100,-0.963379,0.006836,-0.074463,-3.252,-1.374,-0.710,0.966277,3.600958,open
1761623399.193949,doorA,pos1,100,-0.966064,0.007324,-0.064209,-3.046,-1.412,-1.267,0.968224,3.588452,open
1761623399.203948,doorA,pos1,100,-0.962158,0.002441,-0.070068,-3.237,-1.527,-0.710,0.964709,3.648384,open
1761623399.213949,doorA,pos1,100,-0.958496,0.002441,-0.063965,-3.145,-1.511,-1.237,0.960631,3.702030,open
1761623399.223951,doorA,pos1,100,-0.957275,0.000488,-0.050293,-3.206,-1.557,-0.618,0.958596,3.617523,open
1761623399.233948,doorA,pos1,100,-0.961914,0.004395,-0.064209,-3.115,-1.450,-1.229,0.964065,3.648863,open
1761623399.243955,doorA,pos1,100,-0.956787,0.004395,-0.069336,-3.069,-1.313,-0.603,0.959306,3.391831,open
1761623399.253953,doorA,pos1,100,-0.955811,0.001953,-0.073242,-3.092,-1.351,-1.290,0.958615,3.612188,open
1761623399.263950,doorA,pos1,100,-0.958008,0.003906,-0.068115,-3.252,-1.458,-0.687,0.960434,3.629424,open
1761623399.273950,doorA,pos1,100,-0.961670,0.002930,-0.061035,-3.137,-1.489,-1.336,0.963609,3.720707,open
1761623399.283951,doorA,pos1,100,-0.953369,0.006348,-0.072021,-3.336,-1.458,-0.718,0.956107,3.710630,open
1761623399.293949,doorA,pos1,100,-0.958496,-0.009277,-0.072266,-3.191,-1.443,-1.336,0.961261,3.748006,open
1761623399.303948,doorA,pos1,100,-0.960938,0.004639,-0.074707,-3.214,-1.382,-0.939,0.963848,3.621983,open
1761623399.313948,doorA,pos1,100,-0.957764,0.000977,-0.070801,-3.160,-1.252,-1.115,0.960378,3.577279,open
1761623399.323947,doorA,pos1,100,-0.963135,0.008789,-0.070068,-3.153,-1.458,-0.664,0.965720,3.536411,open
1761623399.333939,doorA,pos1,100,-0.964111,0.004150,-0.087646,-3.198,-1.374,-1.053,0.968096,3.637026,open
1761623399.343950,doorA,pos1,100,-0.966309,0.001465,-0.069824,-3.038,-1.481,-0.893,0.968829,3.495892,open
1761623399.353947,doorA,pos1,100,-0.965820,0.004883,-0.064697,-3.099,-1.542,-1.130,0.967997,3.641341,open
1761623399.363948,doorA,pos1,100,-0.967041,0.004150,-0.070557,-3.107,-1.420,-0.855,0.969620,3.521302,open
1761623399.373947,doorA,pos1,100,-0.964600,-0.002197,-0.070068,-3.267,-1.382,-0.962,0.967144,3.675404,open
1761623399.383948,doorA,pos1,100,-0.956299,-0.000977,-0.065918,-3.351,-1.427,-0.893,0.958569,3.750407,open
1761623399.393948,doorA,pos1,100,-0.956055,0.003662,-0.076660,-3.198,-1.618,-0.908,0.959130,3.697888,open
1761623399.403955,doorA,pos1,100,-0.961670,0.004395,-0.078369,-3.130,-1.504,-0.947,0.964868,3.599016,open
1761623399.413947,doorA,pos1,100,-0.958496,0.013672,-0.092285,-3.313,-1.550,-0.878,0.963026,3.761353,open
1761623399.423946,doorA,pos1,100,-0.962646,0.005859,-0.075684,-3.122,-1.519,-1.000,0.965635,3.613220,open
1761623399.433949,doorA,pos1,100,-0.956787,0.010254,-0.072754,-3.061,-1.443,-0.794,0.959604,3.475907,open
1761623399.443949,doorA,pos1,100,-0.963379,0.004883,-0.062988,-3.000,-1.580,-1.168,0.965448,3.586219,open
1761623399.453948,doorA,pos1,100,-0.963379,0.005859,-0.071533,-3.137,-1.458,-0.954,0.966049,3.588817,open
1761623399.463947,doorA,pos1,100,-0.958984,0.002197,-0.068115,-3.237,-1.466,-1.115,0.961403,3.723720,open
1761623399.473947,doorA,pos1,100,-0.957031,-0.000732,-0.071777,-3.214,-1.687,-0.832,0.959719,3.723775,open
1761623399.483970,doorA,pos1,100,-0.958252,0.004639,-0.068848,-3.031,-1.427,-1.107,0.960733,3.528031,open
1761623399.493956,doorA,pos1,100,-0.964844,0.002441,-0.069336,-3.099,-1.282,-0.947,0.967335,3.485099,open
1761623399.503953,doorA,pos1,100,-0.961182,0.002930,-0.079102,-2.992,-1.519,-1.084,0.964435,3.526594,open
1761623399.513952,doorA,pos1,100,-0.966064,-0.001221,-0.065918,-3.168,-1.336,-0.908,0.968312,3.556064,open
1761623399.523951,doorA,pos1,100,-0.959961,0.013428,-0.062988,-3.183,-1.519,-1.221,0.962119,3.732582,open
1761623399.533951,doorA,pos1,100,-0.958984,0.003906,-0.068115,-3.298,-1.527,-0.847,0.961408,3.731450,open
1761623399.543951,doorA,pos1,100,-0.959229,-0.014404,-0.072510,-3.092,-1.450,-1.450,0.962073,3.710151,open
1761623399.553950,doorA,pos1,100,-0.962158,0.002686,-0.077393,-3.183,-1.328,-0.656,0.965270,3.511127,open
1761623399.563952,doorA,pos1,100,-0.961426,0.011963,-0.076416,-3.198,-1.557,-1.183,0.964532,3.749032,open
1761623399.573950,doorA,pos1,100,-0.960938,0.000244,-0.072266,-3.183,-1.580,-0.718,0.963651,3.625544,open
1761623399.583950,doorA,pos1,100,-0.961670,0.002197,-0.069824,-3.229,-1.374,-1.237,0.964204,3.720722,open
1761623399.593953,doorA,pos1,100,-0.958496,0.004883,-0.073730,-3.038,-1.527,-0.664,0.961340,3.464446,open
1761623399.603950,doorA,pos1,100,-0.956299,0.007812,-0.057617,-3.176,-1.382,-1.183,0.958065,3.659682,open
1761623399.613950,doorA,pos1,100,-0.957275,0.005127,-0.070801,-3.076,-1.382,-0.656,0.959904,3.435674,open
1761623399.623949,doorA,pos1,100,-0.959717,0.015137,-0.069336,-3.053,-1.634,-1.397,0.962337,3.734104,open
1761623399.633950,doorA,pos1,100,-0.956787,0.002441,-0.066406,-3.198,-1.328,-0.847,0.959092,3.565449,open
1761623399.643949,doorA,pos1,100,-0.959473,0.001465,-0.075439,-3.214,-1.427,-1.176,0.962435,3.707803,open
1761623399.653950,doorA,pos1,100,-0.961426,0.003418,-0.074463,-3.176,-1.534,-0.756,0.964311,3.606884,open
1761623399.663950,doorA,pos1,100,-0.962646,0.001953,-0.069580,-3.145,-1.466,-1.092,0.965160,3.637443,open
1761623399.673950,doorA,pos1,100,-0.964600,0.003174,-0.069336,-3.176,-1.282,-0.840,0.967094,3.526189,open
1761623399.683949,doorA,pos1,100,-0.960938,0.007568,-0.062500,-3.061,-1.489,-1.260,0.962998,3.629376,open
1761623399.693949,doorA,pos1,100,-0.957275,0.007080,-0.072266,-3.046,-1.489,-0.840,0.960025,3.492531,open
1761623399.703948,doorA,pos1,100,-0.956299,0.002441,-0.068604,-3.252,-1.527,-1.115,0.958760,3.761369,open
1761623399.713948,doorA,pos1,100,-0.956299,0.007080,-0.085938,-3.313,-1.565,-0.992,0.960179,3.795981,open
1761623399.723948,doorA,pos1,100,-0.964600,0.002686,-0.081543,-3.206,-1.550,-1.015,0.968044,3.702865,open
