ts,door_id,mount_pos,sample_hz,ax,ay,az,gx,gy,gz,a_mag,w_mag,label
1761680295.448005,doorA,pos1,100,-0.290039,-0.931152,0.117432,-2.931,-1.687,-1.511,0.982323,3.704461,open
1761680295.457187,doorA,pos1,100,-0.309814,-0.937744,0.106201,-2.885,-1.496,-1.122,0.993291,3.438582,open
1761680295.467188,doorA,pos1,100,-0.289307,-0.938477,0.119141,-3.015,-1.466,-1.427,0.989258,3.643853,open
1761680295.477183,doorA,pos1,100,-0.295410,-0.923584,0.106445,-3.122,-1.641,-0.824,0.975503,3.622296,open
1761680295.487175,doorA,pos1,100,-0.296143,-0.940430,0.111572,-3.000,-1.496,-1.344,0.992248,3.611591,open
1761680295.497181,doorA,pos1,100,-0.289551,-0.949951,0.122803,-2.931,-1.198,-0.817,1.000663,3.270473,open
1761680295.507179,doorA,pos1,100,-0.292480,-0.944092,0.115479,-3.137,-1.450,-1.412,0.995083,3.733800,open
1761680295.517182,doorA,pos1,100,-0.300781,-0.934570,0.117920,-2.885,-1.496,-0.954,0.988836,3.387499,open
1761680295.527180,doorA,pos1,100,-0.293213,-0.939453,0.110107,-3.092,-1.481,-1.344,0.990288,3.681867,open
1761680295.537177,doorA,pos1,100,-0.291992,-0.934814,0.122803,-3.046,-1.656,-0.977,0.987025,3.602164,open
1761680295.547179,doorA,pos1,100,-0.289551,-0.941895,0.124023,-3.046,-1.618,-1.389,0.993170,3.718341,open
1761680295.557165,doorA,pos1,100,-0.297363,-0.940430,0.112305,-3.076,-1.321,-1.023,0.992696,3.500597,open
1761680295.567176,doorA,pos1,100,-0.297363,-0.942139,0.116211,-3.061,-1.504,-1.267,0.994764,3.638316,open
1761680295.577176,doorA,pos1,100,-0.294922,-0.938232,0.115723,-3.023,-1.427,-1.084,0.990278,3.514345,open
1761680295.587176,doorA,pos1,100,-0.292236,-0.940430,0.110596,-3.061,-1.534,-1.008,0.990980,3.569272,open
1761680295.597176,doorA,pos1,100,-0.310059,-0.923096,0.115967,-3.099,-1.519,-1.229,0.980658,3.663788,open
1761680295.607176,doorA,pos1,100,-0.290283,-0.943604,0.107666,-3.084,-1.443,-0.962,0.993098,3.538009,open
1761680295.617175,doorA,pos1,100,-0.293701,-0.950439,0.114746,-3.053,-1.573,-1.374,1.001380,3.699228,open
1761680295.627175,doorA,pos1,100,-0.294434,-0.949707,0.122803,-3.061,-1.359,-0.947,1.001856,3.480288,open
1761680295.637175,doorA,pos1,100,-0.291260,-0.942627,0.111572,-3.015,-1.595,-1.229,0.992888,3.625970,open
1761680295.647176,doorA,pos1,100,-0.293457,-0.938721,0.119629,-2.939,-1.588,-0.916,0.990770,3.463740,open
1761680295.657177,doorA,pos1,100,-0.298340,-0.952881,0.103760,-2.939,-1.405,-1.511,1.003870,3.590911,open
