ts,door_id,mount_pos,sample_hz,ax,ay,az,gx,gy,gz,a_mag,w_mag,label
1761680761.203488,doorA,pos1,100,-0.032715,-1.000244,0.053955,-3.053,-1.458,-0.718,1.002232,3.458925,open
1761680761.212669,doorA,pos1,100,-0.044922,-1.001953,0.041748,-2.954,-1.687,-1.229,1.003828,3.617153,open
1761680761.222635,doorA,pos1,100,-0.040039,-1.000977,0.057861,-3.069,-1.504,-1.198,1.003447,3.621427,open
1761680761.232651,doorA,pos1,100,-0.034424,-1.000488,0.054199,-3.031,-1.496,-1.168,1.002546,3.575861,open
1761680761.242648,doorA,pos1,100,-0.035400,-1.015625,0.032715,-2.977,-1.435,-0.954,1.016768,3.439937,open
1761680761.252648,doorA,pos1,100,-0.031006,-1.002197,0.058350,-3.191,-1.382,-1.275,1.004373,3.703462,open
1761680761.262638,doorA,pos1,100,-0.033447,-1.003174,0.056885,-3.115,-1.466,-0.977,1.005342,3.578126,open
1761680761.272650,doorA,pos1,100,-0.040771,-1.012939,0.050537,-2.924,-1.504,-1.450,1.015019,3.593450,open
1761680761.282644,doorA,pos1,100,-0.031494,-0.999756,0.060303,-3.244,-1.519,-0.962,1.002068,3.709185,open
1761680761.292642,doorA,pos1,100,-0.037842,-0.998291,0.056641,-3.115,-1.672,-1.382,1.000612,3.795252,open
1761680761.302646,doorA,pos1,100,-0.037354,-1.001465,0.055664,-3.031,-1.740,-0.802,1.003706,3.585495,open
1761680761.312643,doorA,pos1,100,-0.040039,-1.000732,0.057373,-3.137,-1.397,-1.221,1.003175,3.645068,open
1761680761.322642,doorA,pos1,100,-0.034180,-1.000977,0.056885,-3.145,-1.542,-1.000,1.003174,3.642661,open
1761680761.332644,doorA,pos1,100,-0.037354,-0.997803,0.052246,-3.031,-1.557,-1.351,0.999868,3.665346,open
1761680761.342643,doorA,pos1,100,-0.034424,-1.000488,0.044922,-2.954,-1.656,-1.084,1.002088,3.556154,open
1761680761.352642,doorA,pos1,100,-0.033691,-1.008545,0.057617,-3.160,-1.336,-1.015,1.010751,3.578109,open
1761680761.362643,doorA,pos1,100,-0.039551,-0.984863,0.048340,-3.214,-1.573,-1.023,0.986842,3.721192,open
1761680761.372642,doorA,pos1,100,-0.034180,-1.003418,0.057129,-3.038,-1.443,-1.076,1.005624,3.531357,open
1761680761.382642,doorA,pos1,100,-0.031738,-1.007812,0.054443,-2.985,-1.351,-1.122,1.009781,3.463151,open
1761680761.392642,doorA,pos1,100,-0.044434,-0.984863,0.054443,-3.084,-1.435,-1.046,0.987367,3.558669,open
1761680761.402642,doorA,pos1,100,-0.040283,-1.003174,0.058594,-3.038,-1.481,-1.160,1.005691,3.573498,open
1761680761.412645,doorA,pos1,100,-0.037598,-1.003662,0.057617,-3.099,-1.641,-1.023,1.006017,3.653108,open
1761680761.422644,doorA,pos1,100,-0.037842,-1.002441,0.054932,-3.160,-1.481,-1.282,1.004658,3.718239,open
1761680761.432643,doorA,pos1,100,-0.034912,-1.000977,0.046631,-2.794,-1.534,-0.985,1.002670,3.336131,open
1761680761.442642,doorA,pos1,100,-0.030518,-0.998291,0.048828,-3.244,-1.565,-1.344,0.999950,3.844374,open
1761680761.452642,doorA,pos1,100,-0.030762,-1.002441,0.052002,-3.237,-1.626,-0.710,1.004261,3.691011,open
1761680761.462643,doorA,pos1,100,-0.027344,-0.998535,0.054932,-3.023,-1.718,-1.275,1.000419,3.703116,open
1761680761.472642,doorA,pos1,100,-0.034180,-1.005127,0.064941,-3.191,-1.580,-0.901,1.007802,3.672835,open
1761680761.482642,doorA,pos1,100,-0.035400,-1.000732,0.050781,-2.985,-1.412,-1.359,1.002645,3.570610,open
1761680761.492643,doorA,pos1,100,-0.036377,-0.984619,0.051514,-3.221,-1.679,-0.771,0.986637,3.713762,open
1761680761.502641,doorA,pos1,100,-0.039307,-1.002197,0.049072,-2.992,-1.389,-1.336,1.004168,3.559356,open
1761680761.512641,doorA,pos1,100,-0.037598,-0.998291,0.057617,-3.031,-1.252,-0.763,1.000659,3.366620,open
1761680761.522642,doorA,pos1,100,-0.042969,-1.004883,0.035156,-3.084,-1.511,-1.427,1.006415,3.719281,open
1761680761.532642,doorA,pos1,100,-0.031738,-1.013916,0.054932,-3.099,-1.580,-0.840,1.015899,3.578720,open
1761680761.542635,doorA,pos1,100,-0.030518,-1.002686,0.044678,-3.191,-1.710,-1.229,1.004144,3.823056,open
1761680761.552643,doorA,pos1,100,-0.035645,-1.002441,0.070312,-2.947,-1.450,-0.885,1.005536,3.401464,open
1761680761.562641,doorA,pos1,100,-0.040039,-1.007324,0.061035,-3.053,-1.603,-1.298,1.009966,3.684738,open
1761680761.572641,doorA,pos1,100,-0.042725,-1.002686,0.048584,-3.176,-1.573,-1.053,1.004771,3.696864,open
1761680761.582640,doorA,pos1,100,-0.035889,-1.000000,0.050781,-2.977,-1.519,-1.153,1.001932,3.535447,open
1761680761.592640,doorA,pos1,100,-0.032227,-0.996338,0.051025,-3.206,-1.557,-1.214,0.998164,3.765278,open
1761680761.602638,doorA,pos1,100,-0.030762,-1.002197,0.050781,-2.947,-1.603,-0.870,1.003954,3.465447,open
1761680761.612642,doorA,pos1,100,-0.034180,-1.002197,0.053955,-3.000,-1.542,-1.282,1.004230,3.608653,open
1761680761.622644,doorA,pos1,100,-0.046875,-1.000000,0.063721,-3.046,-1.511,-0.931,1.003124,3.525437,open
1761680761.632641,doorA,pos1,100,-0.034668,-1.002930,0.053467,-3.084,-1.656,-1.374,1.004952,3.760695,open
1761680761.642640,doorA,pos1,100,-0.035156,-1.000000,0.049561,-3.107,-1.573,-0.947,1.001844,3.608524,open
1761680761.652641,doorA,pos1,100,-0.032471,-0.987549,0.033203,-3.076,-1.496,-1.397,0.988640,3.695114,open
1761680761.662641,doorA,pos1,100,-0.031982,-1.001465,0.058838,-3.198,-1.382,-0.969,1.003701,3.616508,open
1761680761.672641,doorA,pos1,100,-0.036865,-1.001221,0.056152,-2.969,-1.489,-1.282,1.003471,3.560641,open
1761680761.682642,doorA,pos1,100,-0.035645,-1.000732,0.031494,-3.031,-1.466,-0.878,1.001862,3.478923,open
1761680761.692641,doorA,pos1,100,-0.031494,-1.003662,0.061035,-3.076,-1.626,-1.344,1.006009,3.729959,open
1761680761.702641,doorA,pos1,100,-0.035889,-1.004883,0.053467,-2.992,-1.496,-0.840,1.006944,3.449334,open
1761680761.712641,doorA,pos1,100,-0.034180,-1.005615,0.056152,-3.076,-1.588,-1.336,1.007762,3.710725,open
1761680761.722640,doorA,pos1,100,-0.038818,-1.006104,0.055420,-3.076,-1.519,-1.053,1.008376,3.589037,open
1761680761.732641,doorA,pos1,100,-0.040039,-1.002197,0.051025,-3.053,-1.542,-1.229,1.004294,3.634782,open
1761680761.742642,doorA,pos1,100,-0.036865,-1.000244,0.049561,-3.252,-1.565,-0.977,1.002150,3.738783,open
1761680761.752642,doorA,pos1,100,-0.038818,-0.996826,0.047119,-3.160,-1.481,-1.458,0.998694,3.782387,open
1761680761.762640,doorA,pos1,100,-0.036621,-0.997070,0.054199,-3.137,-1.550,-1.053,0.999214,3.654360,open
1761680761.772640,doorA,pos1,100,-0.044434,-1.001465,0.054688,-2.992,-1.427,-1.260,1.003941,3.546605,open
1761680761.782640,doorA,pos1,100,-0.036133,-1.002441,0.047607,-3.260,-1.435,-0.947,1.004221,3.685126,open
1761680761.792642,doorA,pos1,100,-0.034912,-1.001709,0.055664,-3.130,-1.527,-1.153,1.003862,3.668104,open
1761680761.802634,doorA,pos1,100,-0.031006,-1.001465,0.048096,-3.130,-1.573,-1.069,1.003098,3.662022,open
1761680761.812642,doorA,pos1,100,-0.035645,-0.987061,0.052979,-3.275,-1.588,-0.809,0.989124,3.728295,open
1761680761.822640,doorA,pos1,100,-0.036865,-1.002930,0.056396,-3.015,-1.534,-1.298,1.005190,3.623551,open
1761680761.832640,doorA,pos1,100,-0.031006,-1.000488,0.053955,-3.076,-1.740,-0.931,1.002422,3.655182,open
1761680761.842641,doorA,pos1,100,-0.033691,-1.001465,0.057861,-3.122,-1.550,-1.504,1.003701,3.796120,open
1761680761.852641,doorA,pos1,100,-0.035645,-1.001953,0.057129,-3.038,-1.649,-1.031,1.004213,3.607102,open
1761680761.862640,doorA,pos1,100,-0.032471,-1.004883,0.046631,-3.260,-1.504,-1.122,1.006488,3.761020,open
1761680761.872640,doorA,pos1,100,-0.032715,-1.005371,0.054443,-3.176,-1.603,-0.977,1.007375,3.689006,open
1761680761.882640,doorA,pos1,100,-0.029053,-1.000000,0.051025,-3.076,-1.443,-1.313,1.001722,3.642701,open
1761680761.892641,doorA,pos1,100,-0.035400,-1.002441,0.047607,-2.924,-1.443,-0.985,1.004195,3.405735,open
1761680761.902642,doorA,pos1,100,-0.034668,-0.998535,0.053711,-3.168,-1.489,-1.443,1.000579,3.785913,open
1761680761.912642,doorA,pos1,100,-0.038574,-1.005615,0.052246,-3.015,-1.603,-0.588,1.007710,3.465128,open
1761680761.922641,doorA,pos1,100,-0.034912,-1.000000,0.057617,-3.053,-1.580,-1.511,1.002267,3.755640,open
1761680761.932640,doorA,pos1,100,-0.046387,-1.014160,0.060059,-3.137,-1.412,-0.924,1.016995,3.562416,open
1761680761.942640,doorA,pos1,100,-0.039062,-1.004150,0.039307,-3.145,-1.519,-1.351,1.005678,3.744926,open
1761680761.952640,doorA,pos1,100,-0.037354,-1.014648,0.058838,-3.099,-1.397,-0.893,1.017039,3.514884,open
1761680761.962648,doorA,pos1,100,-0.033691,-1.001953,0.047852,-3.099,-1.664,-1.214,1.003661,3.721255,open
1761680761.972642,doorA,pos1,100,-0.031982,-0.984863,0.047363,-3.145,-1.580,-0.832,0.986520,3.616694,open
1761680761.982641,doorA,pos1,100,-0.034912,-0.998047,0.061279,-3.153,-1.443,-1.267,1.000536,3.691422,open
1761680761.992640,doorA,pos1,100,-0.032715,-1.004395,0.060791,-3.076,-1.740,-1.298,1.006764,3.765247,open
1761680762.002640,doorA,pos1,100,-0.034668,-1.004395,0.057129,-3.099,-1.450,-1.252,1.006615,3.643645,open
1761680762.012641,doorA,pos1,100,-0.035645,-1.003906,0.055420,-3.046,-1.656,-1.237,1.006066,3.681052,open
1761680762.022634,doorA,pos1,100,-0.032959,-1.002197,0.061523,-3.176,-1.496,-0.939,1.004625,3.633788,open
1761680762.032640,doorA,pos1,100,-0.039307,-1.004150,0.052246,-2.962,-1.389,-1.122,1.006277,3.458588,open
1761680762.042641,doorA,pos1,100,-0.041504,-1.001709,0.049805,-3.137,-1.458,-0.947,1.003805,3.586795,open
1761680762.052643,doorA,pos1,100,-0.018311,-1.003662,0.062500,-2.992,-1.611,-1.084,1.005773,3.567010,open
1761680762.062642,doorA,pos1,100,-0.031982,-1.000732,0.048828,-2.969,-1.443,-1.084,1.002433,3.474800,open
1761680762.072640,doorA,pos1,100,-0.044434,-1.004639,0.059082,-3.107,-1.618,-1.389,1.007355,3.768527,open
1761680762.082640,doorA,pos1,100,-0.033203,-0.986572,0.059814,-3.084,-1.534,-1.069,0.988941,3.606553,open
1761680762.092640,doorA,pos1,100,-0.032715,-1.004883,0.049805,-3.000,-1.489,-1.328,1.006648,3.602778,open
1761680762.102640,doorA,pos1,100,-0.042725,-1.013184,0.060791,-3.069,-1.466,-0.916,1.015904,3.521956,open
1761680762.112641,doorA,pos1,100,-0.034424,-0.988281,0.054443,-3.183,-1.511,-1.420,0.990378,3.799112,open
1761680762.122639,doorA,pos1,100,-0.033203,-0.996826,0.047119,-3.237,-1.466,-0.885,0.998491,3.661704,open
1761680762.132640,doorA,pos1,100,-0.034912,-1.002197,0.056152,-3.023,-1.450,-1.427,1.004376,3.644069,open
1761680762.142639,doorA,pos1,100,-0.034424,-1.002197,0.061523,-3.092,-1.588,-0.931,1.004674,3.598109,open
1761680762.152639,doorA,pos1,100,-0.035400,-1.004150,0.048828,-3.061,-1.481,-1.252,1.005960,3.623607,open
1761680762.162640,doorA,pos1,100,-0.039307,-1.001709,0.046143,-3.115,-1.389,-0.893,1.003541,3.525338,open
1761680762.172641,doorA,pos1,100,-0.035645,-1.001953,0.055420,-3.008,-1.405,-1.260,1.004118,3.550373,open
1761680762.182640,doorA,pos1,100,-0.037842,-1.001709,0.054688,-2.992,-1.595,-0.977,1.003914,3.529071,open
1761680762.192640,doorA,pos1,100,-0.042480,-0.999756,0.058105,-2.985,-1.550,-1.244,1.002344,3.585829,open
1761680762.202639,doorA,pos1,100,-0.036621,-1.004395,0.045166,-3.061,-1.321,-1.069,1.006076,3.500897,open
1761680762.212646,doorA,pos1,100,-0.034424,-1.003418,0.050049,-3.206,-1.405,-1.008,1.005255,3.642429,open
1761680762.222642,doorA,pos1,100,-0.037109,-1.003174,0.053711,-3.198,-1.565,-1.282,1.005296,3.784674,open
1761680762.232642,doorA,pos1,100,-0.037842,-1.005127,0.055908,-3.191,-1.664,-1.023,1.007392,3.741268,open
1761680762.242640,doorA,pos1,100,-0.034912,-1.003662,0.047852,-3.122,-1.573,-0.947,1.005409,3.621677,open
1761680762.252642,doorA,pos1,100,-0.037598,-1.003906,0.056396,-3.015,-1.595,-0.870,1.006192,3.520582,open
1761680762.262643,doorA,pos1,100,-0.035156,-1.009521,0.059814,-3.206,-1.450,-1.321,1.011903,3.758556,open
1761680762.272643,doorA,pos1,100,-0.032715,-1.003174,0.061279,-3.069,-1.748,-0.924,1.005576,3.650468,open
1761680762.282641,doorA,pos1,100,-0.029785,-0.998779,0.054443,-2.985,-1.626,-1.458,1.000705,3.698400,open
1761680762.292641,doorA,pos1,100,-0.029541,-0.999756,0.056641,-3.015,-1.366,-0.947,1.001795,3.443095,open
1761680762.302639,doorA,pos1,100,-0.036621,-1.006348,0.044678,-3.115,-1.603,-1.191,1.008004,3.699732,open
1761680762.312642,doorA,pos1,100,-0.030518,-1.000977,0.050781,-3.244,-1.664,-1.076,1.002728,3.801726,open
1761680762.322641,doorA,pos1,100,-0.018799,-1.002686,0.046875,-3.038,-1.443,-1.260,1.003957,3.591439,open
1761680762.332640,doorA,pos1,100,-0.032227,-1.004150,0.053711,-3.145,-1.466,-0.870,1.006102,3.577246,open
1761680762.342639,doorA,pos1,100,-0.034180,-1.014648,0.051270,-3.206,-1.664,-1.511,1.016518,3.915725,open
1761680762.352640,doorA,pos1,100,-0.038818,-1.004639,0.053955,-3.153,-1.511,-0.832,1.006835,3.593904,open
1761680762.362641,doorA,pos1,100,-0.037598,-0.998535,0.052246,-3.015,-1.504,-1.267,1.000608,3.599866,open
1761680762.372641,doorA,pos1,100,-0.038574,-1.007324,0.049805,-3.069,-1.550,-0.878,1.009292,3.548083,open
1761680762.382640,doorA,pos1,100,-0.033203,-0.985352,0.057861,-3.069,-1.382,-1.359,0.987607,3.629360,open
1761680762.392639,doorA,pos1,100,-0.040771,-0.999023,0.049805,-3.160,-1.527,-1.046,1.001095,3.662253,open
1761680762.402665,doorA,pos1,100,-0.029541,-0.998535,0.048096,-3.053,-1.557,-1.252,1.000129,3.649079,open
1761680762.412651,doorA,pos1,100,-0.035156,-1.000000,0.048340,-3.252,-1.550,-1.130,1.001785,3.775263,open
1761680762.422637,doorA,pos1,100,-0.035889,-0.999512,0.053223,-3.107,-1.412,-1.053,1.001571,3.571654,open
1761680762.432642,doorA,pos1,100,-0.036133,-1.004395,0.055908,-3.130,-1.557,-1.191,1.006598,3.693047,open
1761680762.442633,doorA,pos1,100,-0.039307,-1.004150,0.050049,-3.206,-1.534,-1.084,1.006165,3.715958,open
1761680762.452641,doorA,pos1,100,-0.034424,-1.000000,0.054199,-3.015,-1.603,-1.237,1.002059,3.631928,open
1761680762.462644,doorA,pos1,100,-0.043457,-1.003174,0.056641,-3.214,-1.374,-0.885,1.005711,3.605584,open
1761680762.472643,doorA,pos1,100,-0.040283,-1.002686,0.055908,-3.122,-1.557,-1.153,1.005051,3.674429,open
1761680762.482641,doorA,pos1,100,-0.033691,-1.003662,0.045166,-3.099,-1.481,-0.908,1.005243,3.552966,open
1761680762.492641,doorA,pos1,100,-0.034912,-1.002930,0.044434,-2.939,-1.740,-1.336,1.004520,3.667572,open
1761680762.502641,doorA,pos1,100,-0.037109,-0.995117,0.053223,-2.924,-1.496,-0.718,0.997230,3.361735,open
1761680762.512641,doorA,pos1,100,-0.033447,-1.003906,0.054932,-2.969,-1.473,-1.397,1.005964,3.597186,open
1761680762.522642,doorA,pos1,100,-0.034180,-1.001465,0.048584,-3.053,-1.641,-1.031,1.003225,3.616500,open
