ts,door_id,mount_pos,sample_hz,ax,ay,az,gx,gy,gz,a_mag,w_mag,label
1761619113.949189,doorA,pos1,100,-0.958740,-0.013916,-0.076904,-3.282,-1.420,-0.809,0.961920,3.666761,idle
1761619113.958448,doorA,pos1,100,-0.959229,0.006348,-0.077881,-3.267,-1.481,-1.099,0.962406,3.751782,idle
1761619113.968447,doorA,pos1,100,-0.961426,0.002197,-0.070557,-3.290,-1.511,-0.565,0.964014,3.664448,idle
1761619113.978446,doorA,pos1,100,-0.956299,0.000977,-0.069580,-3.107,-1.550,-1.099,0.958827,3.641741,idle
1761619113.988433,doorA,pos1,100,-0.958496,0.003174,-0.078857,-3.153,-1.527,-0.626,0.961740,3.558374,idle
1761619113.998445,doorA,pos1,100,-0.962402,0.009277,-0.075928,-3.275,-1.527,-1.214,0.965437,3.811615,idle
1761619114.008441,doorA,pos1,100,-0.962402,0.008057,-0.076416,-3.130,-1.366,-0.656,0.965465,3.477575,idle
1761619114.018443,doorA,pos1,100,-0.968506,0.001221,-0.074707,-3.168,-1.458,-1.069,0.971384,3.647433,idle
1761619114.028439,doorA,pos1,100,-0.963135,0.006348,-0.066406,-3.107,-1.679,-0.740,0.965442,3.608500,idle
1761619114.038450,doorA,pos1,100,-0.964111,0.003662,-0.065918,-3.183,-1.550,-1.191,0.966369,3.735267,idle
1761619114.048440,doorA,pos1,100,-0.957520,0.002441,-0.068115,-3.115,-1.496,-0.725,0.959942,3.530524,idle
1761619114.058450,doorA,pos1,100,-0.965820,0.001709,-0.068604,-3.137,-1.511,-0.985,0.968255,3.619045,idle
1761619114.068438,doorA,pos1,100,-0.961182,0.005371,-0.070068,-3.290,-1.458,-0.908,0.963747,3.711549,idle
1761619114.078446,doorA,pos1,100,-0.963623,0.003662,-0.071289,-3.176,-1.344,-0.947,0.966263,3.575649,idle
1761619114.088436,doorA,pos1,100,-0.958252,0.006348,-0.075195,-3.229,-1.542,-0.855,0.961219,3.679017,idle
1761619114.098446,doorA,pos1,100,-0.966797,0.003174,-0.072021,-3.084,-1.527,-1.183,0.969481,3.638916,idle
1761619114.108437,doorA,pos1,100,-0.959229,0.003906,-0.069336,-3.191,-1.405,-0.954,0.961739,3.614526,idle
1761619114.118447,doorA,pos1,100,-0.958252,0.003174,-0.069336,-2.931,-1.672,-0.939,0.960762,3.502694,idle
1761619114.128436,doorA,pos1,100,-0.957520,0.001953,-0.066895,-3.107,-1.580,-0.870,0.959855,3.592607,idle
1761619114.138447,doorA,pos1,100,-0.955811,0.004883,-0.076172,-3.176,-1.275,-0.885,0.958853,3.534615,idle
1761619114.148437,doorA,pos1,100,-0.960938,0.007080,-0.091064,-3.290,-1.504,-0.962,0.965269,3.743152,idle
1761619114.158457,doorA,pos1,100,-0.956787,0.009033,-0.070801,-3.160,-1.542,-0.916,0.959446,3.633780,idle
1761619114.168442,doorA,pos1,100,-0.963867,0.007812,-0.078125,-3.145,-1.366,-0.878,0.967060,3.539631,idle
1761619114.178453,doorA,pos1,100,-0.962402,-0.001953,-0.079834,-3.252,-1.481,-0.626,0.965710,3.627649,idle
1761619114.188427,doorA,pos1,100,-0.962158,0.010254,-0.069336,-3.160,-1.595,-1.160,0.964708,3.725480,idle
1761619114.198448,doorA,pos1,100,-0.960449,0.004639,-0.066895,-3.282,-1.405,-0.924,0.962787,3.687876,idle
1761619114.208439,doorA,pos1,100,-0.962891,0.007324,-0.076172,-3.321,-1.565,-1.191,0.965927,3.859200,idle
1761619114.218447,doorA,pos1,100,-0.964600,0.002197,-0.079346,-3.191,-1.511,-0.802,0.967860,3.620550,idle
1761619114.228437,doorA,pos1,100,-0.964600,0.001709,-0.075195,-3.290,-1.550,-1.099,0.967528,3.799242,idle
1761619114.238447,doorA,pos1,100,-0.960205,0.001953,-0.082520,-3.244,-1.435,-0.763,0.963746,3.628717,idle
1761619114.248439,doorA,pos1,100,-0.958740,0.007568,-0.084473,-3.092,-1.550,-1.015,0.962484,3.604177,idle
1761619114.258447,doorA,pos1,100,-0.965332,0.006592,-0.086182,-3.275,-1.443,-0.710,0.969194,3.648272,idle
1761619114.268439,doorA,pos1,100,-0.960205,0.004883,-0.076172,-3.176,-1.366,-1.321,0.963234,3.700724,idle
1761619114.278449,doorA,pos1,100,-0.957031,0.004639,-0.068359,-3.122,-1.435,-0.794,0.959481,3.526693,idle
1761619114.288438,doorA,pos1,100,-0.957764,0.005615,-0.072021,-3.031,-1.481,-1.244,0.960484,3.595201,idle
1761619114.298447,doorA,pos1,100,-0.964355,0.004639,-0.072998,-3.153,-1.489,-0.779,0.967125,3.572307,idle
1761619114.308438,doorA,pos1,100,-0.962646,0.008545,-0.070068,-3.244,-1.229,-1.366,0.965231,3.728654,idle
1761619114.318447,doorA,pos1,100,-0.941650,0.003174,-0.072021,-3.023,-1.267,-0.763,0.944406,3.365469,idle
1761619114.328437,doorA,pos1,100,-0.958008,0.005127,-0.066650,-3.237,-1.443,-1.107,0.960337,3.712483,idle
1761619114.338443,doorA,pos1,100,-0.959961,0.002686,-0.069580,-3.260,-1.458,-0.771,0.962483,3.653061,idle
1761619114.348437,doorA,pos1,100,-0.958252,0.002197,-0.083252,-3.214,-1.328,-1.366,0.961864,3.736234,idle
1761619114.358447,doorA,pos1,100,-0.959961,0.000488,-0.073486,-3.198,-1.496,-0.550,0.962770,3.573636,idle
